,GNIS_NAME,TPavg,chlaavg
68,Black Hawk Lake,31.35555555555555,20.309696969696972
69,Twin Valley Lake,33.78904109589041,24.51036363636364
70,Spider Lake,16.179411764705883,3.484736842105263
71,Lipp Lake,25.367105263157892,7.809999999999999
72,Wilson Lake,19.27615384615385,10.698970588235294
73,Lake Ripley,27.776315789473685,12.222557251908396
74,Rock Lake,16.717014925373135,4.580718562874251
75,Lake Mary,18.757425742574256,5.4977647058823536
76,Lilly Lake,19.976607142857144,6.595568181818183
77,Paddock Lake,23.948181818181816,7.2559550561797765
78,Powers Lake,16.60669724770642,4.11119801980198
79,Silver Lake,19.053260869565218,4.9152
80,East Alaska Lake,62.08539325842697,14.39757142857143
81,Yellowstone Lake 18,139.51016949152543,87.35944444444443
82,Rolling Stone Lake,45.830167597765374,11.700536912751678
83,Rose Lake,27.41044444444445,2.5696575342465757
84,White Lake,12.944153846153847,2.326666666666666
85,,11.879682926829268,3.302394366197183
86,,14.167974683544303,3.2958904109589042
87,Pesabic Lake,25.49615384615385,7.947910447761194
88,,60.17285714285716,16.402096774193552
89,Bullhead Lake,48.068939393939395,18.00741
90,Carstens Lake,133.58518518518517,35.835428571428565
91,Long Lake,135.2695035460993,47.31327102803738
92,,17.880555555555556,5.042881355932204
93,Pike Lake,28.13036496350365,12.53810810810811
94,Little Newton Lake,12.911066666666667,2.833671875
95,Town Corner Lake,16.2909009009009,4.515357142857143
96,Mason Lake,83.39886363636363,46.40677631578947
97,Pleasant Lake,12.274873949579833,3.5785161290322582
98,Puckaway Lake,111.0280487804878,54.3775641025641
99,White Lake,10.933571428571428,2.5833877551020406
100,Legend Lake,13.309999999999999,4.874960784313726
101,Lake Tomah,211.27654320987656,76.65716216216217
102,Archibald Lake,12.392156862745098,2.1517882352941173
103,Bear Paw Lake,14.678016528925621,3.9487619047619047
104,Bass Lake,12.852432432432433,3.5011881188118816
105,Maiden Lake,9.864533333333332,1.354655172413793
106,Alva Lake,10.683909090909092,2.5151122448979595
107,Bear Lake,18.75679012345679,6.603272727272726
108,Bearskin Lake,34.11789473684211,18.971046511627907
109,Big Lake,30.333720930232555,8.855
110,,26.224615384615383,7.192698412698412
111,Crescent Lake,16.811028037383178,5.128433734939759
112,,32.090789473684204,9.705970149253732
113,Franklin Lake,11.132857142857143,3.416591397849462
114,George Lake,31.680952380952384,15.571923076923074
115,Hasbrook Lake,9.065049504950496,1.9195454545454544
116,Horsehead Lake,38.4974358974359,12.261698113207547
117,,19.44763888888889,6.280845070422536
118,Lake Julia,15.00766355140187,6.390116279069767
119,Lake Thompson,29.995774647887327,13.055
120,Lee Lake,8.174310344827585,1.8537903225806451
121,Little Bearskin Lake,29.79,8.540842105263158
122,,25.36911764705882,8.53016393442623
123,Manson Lake,13.742203389830507,3.583908045977012
124,Pelican Lake,30.555248618784532,13.773653846153847
125,Pickerel Lake,38.61818181818182,21.8096875
126,,24.2421052631579,7.802280701754387
127,Sevenmile Lake,16.87595,4.560824742268041
128,Shishebogama Lake,17.198382352941177,6.084761904761907
129,Squash Lake,10.154196428571428,2.2490681818181817
130,Sugar Camp Lake,14.070720720720722,2.2814042553191487
131,,15.549344262295083,2.568037735849057
132,Whitefish Lake,18.70806451612903,4.970588235294118
133,,64.00446428571429,19.431382978723406
134,Wapogasset Lake,36.754794520547954,17.65489361702128
135,Big Butternut Lake,70.06634615384615,41.52116504854369
