MolWt,NumValenceElectrons,BalabanJ,BertzCT,NumHAcceptors,NumHDonors
348.47999999999996,144.0,2.0209422988090378,299.23357270441835,6.0,4.0
649.8190000000005,264.0,1.5605042387119377,800.1138393261818,12.0,8.0
592.7670000000004,242.0,1.5866742123737532,676.8229177865271,11.0,7.0
754.9080000000007,306.0,1.3753730927074634,955.3046634044979,16.0,10.0
497.5820000000002,202.0,2.5803534268815866,552.9438452451786,11.0,9.0
525.6360000000002,214.0,2.4842443340424163,582.2660169528958,11.0,9.0
510.6210000000001,208.0,1.7431753353343242,549.5634098284536,11.0,7.0
469.5280000000002,190.0,2.6826556414878704,523.7744689669131,11.0,9.0
511.6090000000002,208.0,2.6471958001139657,581.6707975220429,11.0,8.0
539.6630000000001,220.0,2.5576733817054085,611.1870068599851,11.0,8.0
567.7170000000002,232.0,2.4728960986627375,640.8545443559027,11.0,8.0
306.399,126.0,2.157065661671521,260.54839728323606,6.0,4.0
308.44,120.0,2.213730550942567,251.71876200324016,6.0,4.0
234.33599999999993,98.0,2.828262412638549,105.58638780895902,4.0,1.0
290.444,122.0,2.8896766777949185,146.55586194967046,4.0,1.0
450.6570000000004,188.0,2.9779031597789904,277.65239886768137,7.0,1.0
482.6550000000005,200.0,2.987702173790308,305.0567521525266,9.0,1.0
554.7620000000005,230.0,3.007734982296973,367.8306268482162,10.0,1.0
252.24,82.0,0.0,96.75362619816539,0.0,0.0
280.294,94.0,0.0,118.19458546222222,0.0,0.0
235.843,94.0,0.0,118.19458546222222,0.0,0.0
308.34799999999996,106.0,0.0,140.34747096531262,0.0,0.0
263.89699999999993,106.0,0.0,140.34747096531262,0.0,0.0
336.40199999999993,118.0,0.0,163.13522496070172,0.0,0.0
291.9509999999999,118.0,0.0,163.13522496070172,0.0,0.0
364.45599999999996,130.0,0.0,186.49559987530685,0.0,0.0
300.284,98.0,2.5599982064013027e-06,248.3585493013016,0.0,0.0
314.31100000000004,104.0,2.8899976667519523e-06,261.05928730700595,0.0,0.0
328.33799999999997,110.0,3.239997015602847e-06,273.8503707227377,0.0,0.0
283.887,110.0,3.239997015602847e-06,273.8503707227377,0.0,0.0
375.33799999999997,110.0,3.239997015602847e-06,273.8503707227377,0.0,0.0
342.36499999999995,116.0,3.6099962389540584e-06,286.72951330189164,0.0,0.0
356.39199999999994,122.0,3.999995322005666e-06,299.6944800847012,0.0,0.0
311.9409999999999,122.0,3.999995322005666e-06,299.6944800847012,0.0,0.0
370.4189999999999,128.0,4.4099942491577666e-06,312.743099664719,0.0,0.0
384.4459999999999,134.0,4.839993004010474e-06,325.8732712636312,0.0,0.0
339.9949999999999,134.0,4.839993004010474e-06,325.8732712636312,0.0,0.0
368.04899999999986,146.0,5.759989927218255e-06,352.3702396864544,0.0,0.0
322.37499999999994,112.0,0.0,157.17595007788486,0.0,0.0
350.4289999999999,124.0,0.0,180.2570356672801,0.0,0.0
378.483,136.0,0.0,203.88392493231433,0.0,0.0
406.5370000000001,148.0,0.0,228.00980444190276,0.0,0.0
378.483,136.0,0.0,193.61926242582393,0.0,0.0
420.56400000000014,154.0,0.0,225.2277392351392,0.0,0.0
462.6450000000002,172.0,0.0,257.831943270353,0.0,0.0
311.94100000000003,122.0,3.999995992004201e-06,334.6794070289523,0.0,0.0
339.995,134.0,4.839993881808076e-06,361.3641358081729,0.0,0.0
368.049,146.0,5.759991038414533e-06,388.339080515553,0.0,0.0
265.8689999999999,106.0,0.0,108.78983721006222,1.0,2.0
264.861,105.0,0.0,108.78983721006222,2.0,2.0
263.85299999999995,104.0,0.0,108.78983721006222,1.0,1.0
406.5370000000001,148.0,0.0,206.00980444190273,0.0,0.0
462.64500000000027,172.0,0.0,251.60638078117037,0.0,0.0
